"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"YBH7L7QH","journalArticle","2015","Mahdad, B.; Srairi, K.","Interactive gravitational search algorithm and pattern search algorithms for practical dynamic economic dispatch","International Transactions on Electrical Energy Systems","","","10.1002/etep.1961","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945217298&doi=10.1002%2fetep.1961&partnerID=40&md5=1a90acf4f1e18cc830b02a197a668910","","2015","2022-05-04 12:23:56","2022-05-16 21:54:41","","2289-2309","","10","25","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :16</p>; <p>Export Date: 4 May 2022</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CJAN8F2M","journalArticle","2015","Mancer, N.; Mahdad, B.; Srairi, K.","Optimal coordination of directional overcurrent relays using PSO-TVAC considering series compensation","Advances in Electrical and Electronic Engineering","","","10.15598/aeee.v13i2.1178","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84936112012&doi=10.15598%2faeee.v13i2.1178&partnerID=40&md5=19a4385c0daa280e83fde8b8277ec9c7","","2015","2022-05-11 14:18:47","2022-05-16 21:52:40","","96-106","","2","13","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :7</p>; <p>Export Date: 11 May 2022</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q7HBSYQG","journalArticle","2015","Mane, U.R.; Thorat, A.R.; Bamane, P.D.","MABC algorithm for optimal power flow considering the cost and voltage stability index","International Journal of Applied Engineering Research","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942636668&partnerID=40&md5=ad8be25e529b4f4e2b5ca13cccab1261","","2015","2022-05-04 14:36:37","2022-05-16 21:52:35","","16533-16538","","20","10","","","","","","","","","","","","","Scopus","","","","","<p>Export Date: 4 May 2022</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XRFCN4GS","journalArticle","2015","Metlicka, M.; Davendra, D.","Chaos driven discrete artificial bee algorithm for location and assignment optimisation problems","Swarm and Evolutionary Computation","","","10.1016/j.swevo.2015.03.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952630815&doi=10.1016%2fj.swevo.2015.03.002&partnerID=40&md5=f5bb4facfb09aacfde7a3a235a9945fc","","2015","2022-05-04 12:41:30","2022-05-16 21:52:32","","15-28","","","25","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :41</p>; <p>Export Date: 4 May 2022</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PWV8LDF5","journalArticle","2015","Naranjo, Rodrigo; Meco, Albert; Arroyo, Javier; Santos, Matilde","An Intelligent Trading System with Fuzzy Rules and Fuzzy Capital Management","International Journal of Intelligent Systems","","","10.1002/int.21734","https://app.dimensions.ai/details/publication/pub.1039548662","In this work, we are proposing a trading system where fuzzy logic is applied not only for defining the trading rules, but also for managing the capital to invest. In fact, two fuzzy decision support systems are developed. The first one uses fuzzy logic to design the trading rules and to apply the stock market technical indicators. The second one enhances this fuzzy trading system adding a fuzzy strategy to manage the capital to trade. Additionally, a new technical market indicator that produces short and long entry signals is introduced. It is based on the moving average convergence divergence indicator. Its parameters have been optimized by genetic algorithms. The proposals are compared to a classical nonfuzzy version of the proposed trading systems and to the buy-and-hold strategy. Results favor our fuzzy trading system in the two markets considered, NASDAQ100 and EUROSTOXX. Conclusions suggest that the use of fuzzy logic for capital management is promising and deserves further exploration.","2015","2022-05-04 14:59:07","2022-05-16 21:52:26","","963-983","","8","30","","","","","","","","","","","","","","","","","","<p>Cited By :12</p>; <p>Export Date: 4 May 2022</p>; <p>https://eprints.ucm.es/id/eprint/30730/1/JIS_FuzzyTradingSystem.pdf</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ENCLIF39","conferencePaper","2015","Nasirian, V.; Lewis, F.L.; Davoudi, A.","Distributed optimal dispatch for DC distribution networks","","","","10.1109/ICDCM.2015.7152017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941077026&doi=10.1109%2fICDCM.2015.7152017&partnerID=40&md5=b5fbe1c9262da373a3d0c7b368f664e5","","2015","2022-05-04 14:36:30","2022-05-16 21:52:24","","97-101","","","","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :9</p>; <p>Export Date: 4 May 2022</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2015 IEEE 1st International Conference on Direct Current Microgrids, ICDCM 2015","","","","","","","","","","","","","","",""
"4ECP2XZC","journalArticle","2015","Nepomuceno, L.; Cassia Baptista, E.; Roberto Balbo, A.; Martins Soler, E.","Coevolutionary Genetic Algorithm Based on the Augmented Lagrangian Function for Solving the Economic Dispatch Problem","IEEE Latin America Transactions","","","10.1109/TLA.2015.7387232","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961928056&doi=10.1109%2fTLA.2015.7387232&partnerID=40&md5=c65ca34bdfae071e5e329935e93caa33","","2015","2022-05-04 12:23:55","2022-05-16 21:52:20","","3277-3286","","10","13","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :4</p>; <p>Export Date: 4 May 2022</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BCXHEEJW","journalArticle","2015","Nikmehr, N.; Najafi Ravadanegh, S.","Solving probabilistic load flow in smart distribution grids using heuristic methods","Journal of Renewable and Sustainable Energy","","","10.1063/1.4929804","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940493408&doi=10.1063%2f1.4929804&partnerID=40&md5=8ff3a73f1e62979e9ffeccc65ec1c6bc","","2015","2022-05-05 17:53:58","2022-05-16 21:52:15","","","","4","7","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :8</p>; <p>Export Date: 5 May 2022</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D6MMI4QK","journalArticle","2015","Pandit, M.; Chaudhary, V.; Dubey, H.M.; Panigrahi, B.K.","Multi-period wind integrated optimal dispatch using series PSO-DE with time-varying Gaussian membership function based fuzzy selection","International Journal of Electrical Power and Energy Systems","","","10.1016/j.ijepes.2015.05.017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929991859&doi=10.1016%2fj.ijepes.2015.05.017&partnerID=40&md5=cdae4209f7185bf2a5da56de9feca206","","2015","2022-05-04 12:23:52","2022-05-16 21:50:56","","259-272","","","73","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :43</p>; <p>Export Date: 4 May 2022</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TMNWGAD8","conferencePaper","2015","Patel, Om Prakash; Bharill, Neha; Tiwari, Aruna","A Quantum-Inspired Fuzzy Based Evolutionary Algorithm for Data Clustering","2015 IEEE International Conference on Fuzzy Systems (FUZZ-IEEE)","","","10.1109/fuzz-ieee.2015.7337861","https://app.dimensions.ai/details/publication/pub.1093634922","In this paper, a Quantum-Inspired Evolutionary Fuzzy C-Means (QIE-FCM) algorithm is proposed. The proposed approach find the true number of clusters and the appropriate value of weighted exponent $(m)$ which is required to be known in advance to perform clustering using Fuzzy C-Means (FCM) algorithm. However, the selection of inappropriate value of $m$ and $C$ may lead the algorithm to converge to the local optima. To address the issue of selecting the appropriate value of $m$ and corresponding value of $C$. In QIE-FCM, the quantum concept is used in classical computer where $m$ is represented in terms of quantum bits (qubits). The QIE-FCM is based on generations. At each generation $(g)$, quantum gates are used to generate a new value of $m$.For each generated value of $m$ FCM algorithm is executed by varying values of $C$. Then, corresponding to $m$ value appropriate value of $C$ is identified by evaluating local fitness function for generation $g$. To achieve the global best value of $m$ and $C$, the global fitness function is evaluated by comparing the local best fitness value in current generation with the best fitness value obtained among all the previous generations. To judge the efficacy of QIE-FCM algorithm, it is compared with two well-known indices and three evolutionary fuzzy based clustering algorithm and their performance is evaluated on four benchmark datasets. Furthermore, the sensitivity of QIE-FCM is also experimentally investigated in this paper.","2015","2022-05-11 14:32:39","2022-05-16 21:50:53","","1-8","","","","","","","","","","","","","","","","","","","","","<p>Cited By :9</p>; <p>Cited By :9</p>; <p>Export Date: 11 May 2022</p>; <p>Export Date: 11 May 2022</p>","C:\Users\Work\Zotero\storage\4RYCDCN6\7337861.html; C:\Users\Work\Zotero\storage\2A25VRDW\Patel et al. - 2015 - A Quantum-Inspired Fuzzy based Evolutionary algori.pdf","","excluded; not an application","Optimization; Computer science; Clustering algorithms; Quantum computing; Algorithm design and analysis; Evolutionary computation; Partitioning algorithms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"86KMPYGL","journalArticle","2015","Pinto, José Matias; Neves, Rui Ferreira; Horta, Nuno","Boosting Trading Strategies performance using VIX indicator together with a dual-objective Evolutionary Computation optimizer","Expert Systems with Applications","","","10.1016/j.eswa.2015.04.056","https://app.dimensions.ai/details/publication/pub.1035206466","In this study a Multi-Objective Evolutionary System is used to predict the future tendency of assets price. Therefore, a framework using a Multi-Objective Genetic Algorithm (GA) in its core to optimize a set of Trading or Investment Strategies (TSs) was developed. The investigated framework is used to determine potential buy, sell or hold conditions in stock markets, aiming to yield high returns at a minimal risk. The Volatility Index (VIX), indicators based on the VIX and other Technical Indicators (TI) are optimized to find the best investment strategy. Additionally, fair and established metrics are used to evaluate both the return and the linked risk of the optimized TSs. Furthermore, these strategies are evaluated in several markets using data from the main stock indexes of the most developed economies, such as: NASDAQ, S&P 500, FTSE 100, DAX 30, and also NIKKEI 225. The achieved results clearly outperform both the Buy&Hold and Sell&Hold. Additionally, the Pareto-Fronts obtained with the training data during the experiments clearly show the inherent trade-off between risk and return in financial. In this paper the option of using an adaptive approach was chosen, which led to the development of a framework able to operate continuously and with minimal human intervention. To sum up, the developed framework is able to evolve a set of TSs suitable for the diverse profiles of investors from the most risky to the most careful with interesting results, which suggests great potential in the framework generalization capabilities. The use of the VIX enables the system to increase the stock return compared to traditional Technical Indicators by avoiding losses when the stress in the stock market increases. The GA enables the system to adapt to different types of markets. The algorithm achieves a return of higher than 10% annual for the period of 2006–2014 in the NASDAQ and DAX indexes, in a period that includes the stock market crash of 2008.","2015","2022-05-04 12:38:32","2022-05-16 21:50:49","","6699-6716","","19","42","","","","","","","","","","","","","","","","","","","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PZ6JYWW6","conferencePaper","2015","Qian, Q.; Tokgo, M.; Kim, C.; Han, C.; Ri, J.; Song, K.","A hybrid improved quantum-behaved particle swarm optimization algorithm using adaptive coefficients and natural selection method","","","","10.1109/ICACI.2015.7184720","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954338753&doi=10.1109%2fICACI.2015.7184720&partnerID=40&md5=37f290a1183f21618157ca239c905495","","2015","2022-05-05 17:53:57","2022-05-16 21:50:46","","312-317","","","","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :9</p>; <p>Export Date: 5 May 2022</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2015 7th International Conference on Advanced Computational Intelligence, ICACI 2015","","","","","","","","","","","","","","",""
"GWNR3WI4","journalArticle","2015","Roberge, V.; Tarbouchi, M.; Okou, F.","Collaborative parallel hybrid metaheuristics on graphics processing unit","International Journal of Computational Intelligence and Applications","","","10.1142/S1469026815500029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928723752&doi=10.1142%2fS1469026815500029&partnerID=40&md5=61db0e2b47d57ed82263c3178d9213b9","","2015","2022-05-04 14:48:06","2022-05-16 21:50:27","","","","1","14","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :3</p>; <p>Export Date: 4 May 2022</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CHS3J8YI","journalArticle","2015","Roy, P.K.; Hazra, S.","Economic emission dispatch for wind-fossil-fuel-based power system using chemical reaction optimisation","International Transactions on Electrical Energy Systems","","","10.1002/etep.2033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955693248&doi=10.1002%2fetep.2033&partnerID=40&md5=d4bdcb0e38b8565c6525506712dfc670","","2015","2022-05-04 12:23:51","2022-05-16 21:50:23","","3248-3274","","12","25","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :16</p>; <p>Cited By :16</p>; <p>Export Date: 4 May 2022</p>; <p>Export Date: 4 May 2022</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SQ82MLIK","journalArticle","2015","Roy, R.; Jadhav, H.T.","Optimal power flow solution of power system incorporating stochastic wind power using Gbest guided artificial bee colony algorithm","International Journal of Electrical Power and Energy Systems","","","10.1016/j.ijepes.2014.07.010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906510992&doi=10.1016%2fj.ijepes.2014.07.010&partnerID=40&md5=59932da59c9995cec3e770c8f27206fa","","2015","2022-05-04 12:24:19","2022-05-16 21:49:37","","562-578","","","64","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :92</p>; <p>Cited By :92</p>; <p>Export Date: 4 May 2022</p>; <p>Export Date: 4 May 2022</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DB5KB8NK","conferencePaper","2015","Samadi, R.; Hamidzadeh, J.","Dynamic economic dispatch solving in power systems using imperialist competitive algorithm","","","","10.1109/ICTCK.2014.7033541","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84924236760&doi=10.1109%2fICTCK.2014.7033541&partnerID=40&md5=91c4ee771c514b510bf34ccdabaf4039","","2015","2022-05-04 12:24:08","2022-05-16 21:49:30","","","","","","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :2</p>; <p>Export Date: 4 May 2022</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2014 International Congress on Technology, Communication and Knowledge, ICTCK 2014","","","","","","","","","","","","","","",""
"AS9B39UD","conferencePaper","2015","Sharmiladeve, V.; Geethanjali, S.","Economic dispatch considering valve point effects using modified teaching learning based optimisation","","","","10.1109/ICETECH.2015.7275041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965036359&doi=10.1109%2fICETECH.2015.7275041&partnerID=40&md5=5e1cb8c1660e74bb3f69a347e0528e95","","2015","2022-05-11 14:18:47","2022-05-16 21:49:21","","","","","","","","","","","","","","","","","","Scopus","","","","","<p>Export Date: 11 May 2022</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ICETECH 2015 - 2015 IEEE International Conference on Engineering and Technology","","","","","","","","","","","","","","",""
"55HV8NWT","journalArticle","2015","Srisaeng, P.; Baxter, G.S.; Wild, G.","An adaptive neuro-fuzzy inference system for forecasting Australia's domestic low cost carrier passenger demand","Aviation","","","10.3846/16487788.2015.1104806","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947063341&doi=10.3846%2f16487788.2015.1104806&partnerID=40&md5=a303ef500a7a1afecb819fc6481628a2","","2015","2022-05-04 14:59:12","2022-05-16 21:46:37","","150-163","","3","19","","","","","","","","","","","","","Scopus","","","","","<p>Cited By :12</p>; <p>Export Date: 4 May 2022</p>; <p>https://journals.vgtu.lt/index.php/Aviation/article/download/2551/2068</p>","","","excluded; not an application","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NDAIADVS","book","2015","Sumath, S.; Ashok Kumar, L.; Surekha, P.","Soft computing techniques in wind energy conversion systems","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927779604&doi=10.1007%2f978-3-319-14941-7_5&partnerID=40&md5=b59c453a13124fe1ab9401ad1da57f31","","2015","2022-05-04 12:24:00","2022-05-16 21:46:33","","","309","","214","","","","Green Energy and Technology","","","","","","","","","Scopus","","","","Pages: 390 DOI: 10.1007/978-3-319-14941-7_5","<p>Cited By :1</p>; <p>Export Date: 4 May 2022</p>","","","excluded; not a primary study","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
