Key,Item Type,Publication Year,Author,Title,SourceID,ConferenceID,Publication Title,ISBN,ISSN,DOI,Url,Publication Source,ISIC Section,ISIC Division,ISIC Group,ISIC Class,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Conference Name,SS1,SS2,SS3,SS4,SS5,SS6,SS7,SS8,SS9,SS10,SR1,SR2,SR3,SR4,SR5,SR6,SR7,SR8,SR9,SR10,SR11,SR12,SR13,SR14,SR15,SR16,SSTOTAL,SRTOTAL,SAFETY CHECK SS2,SAFETY CHECK SS4,SAFETY CHECK SS8,SAFETY CHECK SR8,SAFETY CHECK SR10,SAFETY CHECK SR12,SAFETY CHECK SR15,Column1,Column2
A43GXD2L,conferencePaper,2012,"Zhen-xin, Ma; Yue-guang, Li",A New Algorithm and its Application,,,2012 International Conference on Computer Distributed Control and Intelligent Environmental Monitoring,,,10.1109/CDCIEM.2012.17,,Conference,E,38,381,3811,"City Litter Transportation Problem (CLTP) is NP-complete problem, most of the algorithms for CLTP are intelligence algorithm and linear programming. The algorithm in this paper is based on the combination of Quantum Evolutionary algorithm (QEA) and Ant Colony System (ACS), a new algorithm, Quantum Ant Colony Algorithm (QACA) is proposed in this paper. it has better diversity and global search capacity. The experimental result demonstrates that QACA can get better solutions to City Litter Transportation Problem (CLTP) than the solutions given in existing bibliographer.",2012-03,4/11/2022 15:14,5/4/2022 14:45,,42-47,,,,,,,,,,,,,,,,,,IEEE Xplore,,,,; C:\Users\cfpgo\Zotero\storage\FYX8G55C\6178445.html; C:\Users\cfpgo\Zotero\storage\NR6R6E8L\Zhen-xin and Yue-guang - 2012 - A New Algorithm and its Application.pdf,http://dx.doi.org/10.1109/CDCIEM.2012.17,waste management; transportation; quantum computing; evolutionary computation; computational complexity; ant colony optimisation; graph theory; linear programming; search problems; included; reverse snowball; forward snowball,Logic gates; Quantum computing; Heuristic algorithms; Transportation; Equations; Quantum mechanics; Cities and towns; City Litter Transportation Problem; Quantum Ant Colony Algorithm; Quantum Evolutionary,,2012 International Conference on Computer Distributed Control and Intelligent Environmental Monitoring,YES,NO,NO,YES,N/A,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,NO,NO,N/A,NO,0.444444444,0.533333333,OK,OK,OK,OK,OK,OK,OK,,
XWPJ5YN3,journalArticle,2011,"Lee, Jia-Chu; Lin, Whei-Min; Liao, Gwo-Ching; Tsao, Ta-Peng",Quantum genetic algorithm for dynamic economic dispatch with valve-point effects and including wind power system,17985,,International Journal of Electrical Power & Energy Systems,,0142-0615,10.1016/j.ijepes.2010.08.014,https://www.sciencedirect.com/science/article/pii/S014206151000150X,Journal,D,35,351,3510,"An optimization algorithm is proposed in this paper to solve the problem of the economic dispatch that includes wind power generation using quantum genetic algorithm (QGA). In additional to the detail introduction for models of general economic dispatch as well as their associated constraints, the effect of wind power generation is also included in this paper. On the other hand, the use of quantum genetic algorithms to solve the process of economic dispatch is also discussed and real scenarios are used for simulation tests later on. After comparing the algorithm used in this paper with several other algorithms commonly used to solve optimization problems, the results show that the algorithm used in this paper is able to find the optimal solution most quickly and accurately (i.e. to obtain the minimum cost for power generation in the shortest time). At the end, the impact to the total cost saving for the power generation after adding (or not adding) wind power generation is also discussed. The actual operating results prove that the algorithm proposed in this paper is economical and practical as well as superior. They are quite valuable for further research.",2011-02-01,4/25/2022 15:43,5/4/2022 12:32,4/25/2022 15:43,189-197,,2,33,,International Journal of Electrical Power & Energy Systems,,,,,,,,en,,,,,ScienceDirect,,,,C:\Users\cfpgo\Zotero\storage\YZ4ECURX\Lee et al. - 2011 - Quantum genetic algorithm for dynamic economic dis.pdf; C:\Users\cfpgo\Zotero\storage\K5YFX9EK\S014206151000150X.html,,included; forward snowball,Quantum genetic algorithm; Economic dispatch; Power generation system containing wind power generation,,,YES,YES,NO,YES,N/A,NO,YES,NO,NO,NO,NO,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,NO,N/A,NO,0.444444444,0.6,OK,OK,OK,OK,OK,OK,OK,,
I6836NX2,journalArticle,2011,"Sun, Jun; Fang, Wei; Wu, Xiaojun; Xie, Zhenping; Xu, Wenbo",QoS multicast routing using a quantum-behaved particle swarm optimization algorithm,24182,,Engineering Applications of Artificial Intelligence,,0952-1976,10.1016/j.engappai.2010.08.001,https://www.sciencedirect.com/science/article/pii/S0952197610001454,Journal,J,63,631,6311,"QoS multicast routing in networks is a very important research issue in networks and distributed systems. It is also a challenging and hard problem for high-performance networks of the next generation. Due to its NP-completeness, many heuristic methods have been employed to solve the problem. This paper proposes the modified quantum-behaved particle swarm optimization (QPSO) method for QoS multicast routing. In the proposed method, QoS multicast routing is converted into an integer programming problem with QoS constraints and is solved by the QPSO algorithm combined with loop deletion operation. The QPSO-based routing method, along with the routing algorithms based on particle swarm optimization (PSO) and genetic algorithm (GA), is tested on randomly generated network topologies for the purpose of performance evaluation. The simulation results show the efficiency of the proposed method on QoS the routing problem and its superiority to the methods based on PSO and GA.",2011-02-01,4/26/2022 13:58,5/4/2022 12:36,4/26/2022 13:58,123-131,,1,24,,Engineering Applications of Artificial Intelligence,,,,,,,,en,,,,,ScienceDirect,,,,C:\Users\cfpgo\Zotero\storage\CDZ7VJLA\Sun et al. - 2011 - QoS multicast routing using a quantum-behaved part.pdf; C:\Users\cfpgo\Zotero\storage\6J6TRMAL\S0952197610001454.html,,included; forward snowball,Integer programming; Heuristic methods; Multicast routing; Multicast tree; Quality of service; Particle swarm optimization,,,YES,YES,NO,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,NO,N/A,NO,0.7,0.666666667,OK,OK,OK,OK,OK,OK,OK,,
6WU267MY,journalArticle,2017,"Feng, Zhong-kai; Niu, Wen-jing; Cheng, Chun-tian",Multi-objective quantum-behaved particle swarm optimization for economic environmental hydrothermal energy system scheduling,29348,,Energy,,0360-5442,10.1016/j.energy.2017.05.013,https://www.sciencedirect.com/science/article/pii/S0360544217307582,Journal,D,35,351,3510,"With increasing attention paid to energy and environment in recent years, the hydrothermal scheduling considering economic and environmental objectives is becoming one of the most important optimization problems in power system. With two competing objectives and a set of operation constraints, the economic environmental hydrothermal scheduling problem is classified as a typical multi-objective nonlinear constrained optimization problem. Thus, in order to efficiently resolve this problem, the multi-objective quantum-behaved particle swarm optimization (MOQPSO) is presented in this paper. In MOQPSO, the elite archive set is adopted to conserve Pareto optimal solutions and provide multiple evolutionary directions for individuals, while the neighborhood searching and chaotic mutation strategies are used to enhance the search capability and diversity of population. Furthermore, a novel constraint handling method is designed to adjust the constraint violation of hydro and thermal plants, respectively. In order to verify its effectiveness, the MOQPSO is applied to a classical hydrothermal system with four hydropower plants and three thermal plants. The simulations show that the proposed method has competitive performance compared with several traditional methods.",2017-07-15,4/26/2022 13:59,5/12/2022 16:09,4/26/2022 13:59,165-178,,,131,,Energy,,,,,,,,en,,,,,ScienceDirect,,,,C:\Users\cfpgo\Zotero\storage\P465LNLR\Feng et al. - 2017 - Multi-objective quantum-behaved particle swarm opt.pdf; C:\Users\cfpgo\Zotero\storage\3P5D5KWU\S0360544217307582.html,,included; forward snowball,Quantum-behaved particle swarm optimization; Chaotic mutation; Constraint handling method; Hydrothermal scheduling; Multi-objective optimization,,,YES,YES,NO,YES,N/A,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,NO,N/A,YES,0.555555556,0.733333333,OK,OK,OK,OK,OK,OK,OK,,
PDYDX6KS,journalArticle,2014,"Wang, Huaixiao; Zhu, Wanhong; Liu, Jianyong; Li, Ling; Yin, Zhuchen",Multidistribution Center Location Based on Real-Parameter Quantum Evolutionary Clustering Algorithm,13082,,Mathematical Problems in Engineering,,1024-123X,10.1155/2014/714657,https://www.hindawi.com/journals/mpe/2014/714657/,Journal,H,52,522,5229,"To determine the multidistribution center location and the distribution scope of the distribution center with high efficiency, the real-parameter quantum-inspired evolutionary clustering algorithm (RQECA) is proposed. RQECA is applied to choose multidistribution center location on the basis of the conventional fuzzy C-means clustering algorithm (FCM). The combination of the real-parameter quantum-inspired evolutionary algorithm (RQIEA) and FCM can overcome the local search defect of FCM and make the optimization result independent of the choice of initial values. The comparison of FCM, clustering based on simulated annealing genetic algorithm (CSAGA), and RQECA indicates that RQECA has the same good convergence as CSAGA, but the search efficiency of RQECA is better than that of CSAGA. Therefore, RQECA is more efficient to solve the multidistribution center location problem.",2014-11-26,4/27/2022 11:08,5/11/2022 14:37,4/27/2022 11:08,e714657,,,2014,,,,,,,,,,en,,,,,www.hindawi.com,,Publisher: Hindawi,,C:\Users\cfpgo\Zotero\storage\8JB98PKP\Wang et al. - 2014 - Multidistribution Center Location Based on Real-Pa.pdf; C:\Users\cfpgo\Zotero\storage\6394EXW9\714657.html,,included; forward snowball,,,,YES,YES,NO,YES,NO,N/A,YES,YES,NO,YES,NO,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,N/A,NO,0.666666667,0.666666667,OK,OK,OK,OK,OK,OK,OK,,
EERVQ9WA,journalArticle,2012,"Yao, Fang; Dong, Zhao Yang; Meng, Ke; Xu, Zhao; Iu, Herbert Ho-Ching; Wong, Kit Po",Quantum-Inspired Particle Swarm Optimization for Power System Operations Considering Wind Power Uncertainty and Carbon Tax in Australia,144912,,IEEE Transactions on Industrial Informatics,,1941-0050,10.1109/TII.2012.2210431,,Journal,D,35,351,3510,"In this paper, a computational framework for integrating wind power uncertainty and carbon tax in economic dispatch (ED) model is developed. The probability of stochastic wind power based on nonlinear wind power curve and Weibull distribution is included in the model. In order to solve the revised dispatch strategy, quantum-inspired particle swarm optimization (QPSO) is also adopted, which shows stronger search ability and quicker convergence speed. The dispatch model is tested on a modified IEEE benchmark system involving six thermal units and two wind farms using the real wind speed data obtained from two meteorological stations in Australia.",2012-11,4/27/2022 11:34,5/4/2022 14:39,,880-888,,4,8,,,,,,,,,,,,,,,IEEE Xplore,,Conference Name: IEEE Transactions on Industrial Informatics,,C:\Users\cfpgo\Zotero\storage\YNWI3S3T\6249753.html; C:\Users\cfpgo\Zotero\storage\TTTP5599\Yao et al. - 2012 - Quantum-Inspired Particle Swarm Optimization for P.pdf,,included; forward snowball,particle swarm optimization; Wind turbines; wind power; Fuels; Carbon tax; economic load dispatch; stochastic optimization; Wind farms; Wind forecasting; Wind power generation; Wind speed,,,YES,YES,NO,YES,N/A,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,NO,N/A,NO,0.555555556,0.6,OK,OK,OK,OK,OK,OK,OK,,
DUTPT4BZ,journalArticle,2013,"Jamalipour, Mostafa; Sayareh, Reza; Gharib, Morteza; Khoshahval, Farrokh; Karimi, Mahmood Reza",Quantum behaved Particle Swarm Optimization with Differential Mutation operator applied to WWER-1000 in-core fuel management optimization,29363,,Annals of Nuclear Energy,,0306-4549,10.1016/j.anucene.2012.11.008,https://www.sciencedirect.com/science/article/pii/S0306454912004410,Journal,D,35,351,3510,"This paper presents a new method using Quantum Particle Swarm Optimization with Differential Mutation operator (QPSO-DM) for optimizing WWER-1000 core fuel management. Genetic Algorithm (GA) and Particle Swarm Optimization (PSO) have shown good performance on in-core fuel management optimization (ICFMO). The objective of this paper is to show that QPSO-DM performs very well and is comparable to PSO and Quantum Particle Swarm Optimization (QPSO). Most of the strategies for ICFMO are based on maximizing multiplication factor (keff) to increase cycle length and minimizing power peaking factor (Pq) in order to improve fuel integrity. PSO, QPSO and QPSO-DM have been implemented to fulfill these requirements for the first operating cycle of WWER-1000 Bushehr Nuclear Power Plant (BNPP). The results show that QPSO-DM performs better than the others. A program has been written in MATLAB to map PSO, QPSO and QPSO-DM for loading pattern optimization. WIMS and CITATION have been used to simulate reactor core for neutronic calculations.",2013-04-01,4/27/2022 12:54,5/4/2022 14:57,4/27/2022 12:54,134-140,,,54,,Annals of Nuclear Energy,,,,,,,,en,,,,,ScienceDirect,,,,C:\Users\cfpgo\Zotero\storage\WN65XM83\Jamalipour et al. - 2013 - Quantum behaved Particle Swarm Optimization with D.pdf,,included; forward snowball,Particle Swarm Optimization; Differential Mutation; In-core fuel management; Quantum Particle Swarm Optimization; WWER-1000,,,YES,YES,YES,N/A,N/A,YES,YES,YES,NO,NO,NO,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,N/A,NO,0.75,0.666666667,OK,OK,OK,OK,OK,OK,OK,,
WZLQH53I,journalArticle,2014,"Davoodi, Elnaz; Hagh, Mehrdad Tarafdar; Zadeh, Saeid Ghassem",A hybrid Improved Quantum-behaved Particle Swarm Optimization–Simplex method (IQPSOS) to solve power system load flow problems,18136,,Applied Soft Computing,,1568-4946,10.1016/j.asoc.2014.03.004,https://www.sciencedirect.com/science/article/pii/S1568494614001100,Journal,D,35,351,3510,"This study proposes a new approach, based on a hybrid algorithm combining of Improved Quantum-behaved Particle Swarm Optimization (IQPSO) and simplex algorithms. The Quantum-behaved Particle Swarm Optimization (QPSO) algorithm is the main optimizer of algorithm, which can give a good direction to the optimal global region and Nelder Mead Simplex method (NM) which is used as a local search to fine tune the obtained solution from QPSO. The proposed improved hybrid QPSO algorithm is tested on several benchmark functions and performed better than particle swarm optimization (PSO), QPSO and weighted QPSO (WQPSO). To assess the effectiveness and feasibility of the proposed method on real problems, it is used for solving the power system load flow problems and demonstrated by different standard and ill-conditioned test systems including IEEE 14, 30 and 57 buses test systems, and compared with the conventional Newton–Raphson (NR) method, PSO and some versions of QPSO algorithms. Furthermore, the proposed hybrid algorithm is proposed for solving load flow problems with considering the reactive limits at generation buses. Simulation results prove the robustness and better convergence of IQPSOS under normal and critical conditions, when conventional load flow methods fail.",2014-08-01,4/27/2022 12:55,5/5/2022 18:20,4/27/2022 12:55,171-179,,,21,,Applied Soft Computing,,,,,,,,en,,,,,ScienceDirect,,,,C:\Users\cfpgo\Zotero\storage\EHBXP2CV\Davoodi et al. - 2014 - A hybrid Improved Quantum-behaved Particle Swarm O.pdf,,included; forward snowball,Load flow; Ill-conditioned systems; Loadability limits; Quantum-behaved Particle Swarm Optimization; Simplex method,,,YES,YES,NO,YES,N/A,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,N/A,YES,0.555555556,0.8,OK,OK,OK,OK,OK,OK,OK,,
C8WRRZKP,journalArticle,2014,"Gholizadeh, Saeed; Moghadas, Reza Kamyab",Performance-Based Optimum Design of Steel Frames by an Improved Quantum Particle Swarm Optimization,14469,,Advances in Structural Engineering,,1369-4332,10.1260/1369-4332.17.2.143,https://doi.org/10.1260/1369-4332.17.2.143,Journal,C,24,243,2431,"The main aim of this work is to present a methodology for performance-based optimum seismic design of moment resisting steel frame structures. In the present study, an improved quantum particle swarm optimization (IQPSO) metaheuristic algorithm is proposed to implement performance-based optimum design (PBOD) process. During the optimization process, QPSO and IQPSO algorithms minimize the structural weight subject to performance constraints on inter-story drift ratios based on FEMA-356 provisions at the immediate occupancy (IO), life safety (LS) and collapse prevention (CP) performance levels. Nonlinear pushover analysis is conducted to compute the necessary structural responses during the PBOD process. Two numerical examples are presented to illustrate the efficiency of the presented methodology. The numerical results demonstrate the superiority of the proposed IQPSO to the classical QPSO algorithm.",2014-02-01,4/27/2022 13:01,5/5/2022 18:34,4/27/2022 13:01,143-156,,2,17,,Advances in Structural Engineering,,,,,,,,,,,,,SAGE Journals,,Publisher: SAGE Publications Ltd STM,,C:\Users\cfpgo\Zotero\storage\XTL5YC8J\Gholizadeh and Moghadas - 2014 - Performance-Based Optimum Design of Steel Frames b.pdf,,included; forward snowball,,,,YES,YES,YES,N/A,N/A,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,N/A,NO,0.625,0.8,OK,OK,OK,OK,OK,OK,OK,,
XCRU4NTE,journalArticle,2014,"Chen, Wen-Jong; Su, Wen-Cheng; Yang, Yin-Liang",Application of Constrained Multi-Objective Hybrid Quantum Particle Swarm optimization for Improving Performance of an Ironless Permanent Magnet Linear Motor,21100197928,,Applied Mathematics and Information Sciences,,,,http://dx.doi.org/10.12785/amis/080652,Journal,C,27,271,2710,"This study presents an ironless permanent magnet linear brushless motor (PMLBM) with three objective functions: maximal thrust force, minimal temperature, and minimal volume. Using response surface methodology (RSM), this study presents a mathematical predictive model with constraints using the penalty functions concept for each objective function. The design variables in this study include magnetic width, magnetic height, magnetic pitch, air-gap, coil width, coil height, and coil diameter. This study uses an elitist hybrid quantum behavior particle swarm optimization algorithm with mutation to solve this multi-objective optimization problem (EMOHQPSO). This elitist mechanism with crowding distance sorting improves the number and diversity of the solutions. Results show that the proposed approach is superior to the non-dominated sorting genetic algorithm (NSGA II) and multi-objective particle swarm optimization (MOPSO), respectively, on the 3D graph Pareto-optimal front. Compared to the initial motor, the thrust force increased by 6.27%, the thrust density increased by 14.9%, and the temperature and volume decreased by 14.03% and 6.25% respectively. These results conﬁrm the satisfactory performance of the proposed solutions.",2014,4/27/2022 13:05,5/5/2022 17:38,,10,,6,,,,,,,,,,,en,,,,,Zotero,,,,C:\Users\cfpgo\Zotero\storage\FJUUI5W4\Chen et al. - 2014 - Application of Constrained Multi-Objective Hybrid .pdf,,included; forward snowball,,,,YES,YES,NO,YES,N/A,NO,YES,NO,NO,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,N/A,NO,0.444444444,0.733333333,OK,OK,OK,OK,OK,OK,OK,,
ST9KHN6W,journalArticle,2011,"Arpaia, P.; Maisto, D.; Manna, C.",A Quantum-inspired Evolutionary Algorithm with a competitive variation operator for Multiple-Fault Diagnosis,18136,,Applied Soft Computing,,1568-4946,10.1016/j.asoc.2011.07.017,https://www.sciencedirect.com/science/article/pii/S156849461100278X,Journal,C,33,331,3319,"A heuristic search algorithm, the Quantum-inspired Competitive Evolutionary Algorithm (QuCEA), based on both quantum and evolutionary computing, is proposed. The individuals of a population, coded as qubit strings, evolve by means of an original variation operator inspired by competitive learning. The proposed operator is application independent and intuitively controllable by a single real parameter. QuCEA has been applied to Multiple-Fault Diagnosis, a typical NP-hard problem for industrial diagnosis. In particular, the proposed algorithm gives remarkable results both in simulation and in on-field tests for a lift monitoring system, also in comparison with a standard genetic algorithm and a state-of-the-art Quantum-inspired Evolutionary Algorithm.",2011-12-01,4/27/2022 14:48,5/4/2022 12:21,4/27/2022 14:48,4655-4666,,8,11,,Applied Soft Computing,,,,,,,,en,,,,,ScienceDirect,,,,C:\Users\cfpgo\Zotero\storage\79DQZADI\Arpaia et al. - 2011 - A Quantum-inspired Evolutionary Algorithm with a c.pdf,,included; forward snowball,Quantum computing; Evolutionary algorithms; Competitive learning; MultipleFault Diagnosis,,,YES,YES,YES,N/A,N/A,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,N/A,NO,0.875,0.8,OK,OK,OK,OK,OK,OK,OK,,
3JNAJ37H,journalArticle,2019,"Xia, Yan; Feng, Zhong-kai; Niu, Wen-jing; Qin, Hui; Jiang, Zhi-qiang; Zhou, Jian-zhong",Simplex quantum-behaved particle swarm optimization algorithm with application to ecological operation of cascade hydropower reservoirs,18136,,Applied Soft Computing,,1568-4946,10.1016/j.asoc.2019.105715,https://www.sciencedirect.com/science/article/pii/S156849461930496X,Journal,D,35,351,3510,"With growing attentions paid to ecological protection in recent years, the ecological operation of cascade hydropower reservoirs is becoming an increasingly significant problem in water resource system. Mathematically, the ecological operation of cascade hydropower reservoirs is a high-dimensional, nonlinear and strong spatiotemporal coupling constrained optimization problem. To overcome the premature convergence and stagnation search of traditional methods in resolving this problem, this paper develops a novel algorithm known as simplex quantum-behaved particle swarm optimization, where the probabilistic mutation operator is performed on historical best position of some individuals, and then the simplex neighborhood search strategy based on the dynamic probability identification is used to enhance the local exploration ability of the swarm. The numerical experiments of 17 classical test functions indicate that the presented method can achieve satisfactory results in both convergence speed and global search ability. The application results from China’s Wu hydropower system indicate that our method has satisfying performance in reducing the ecological water shortage. Hence, this paper provides a novel effective tool for the complex ecological operation problem of cascade hydropower reservoirs.",2019-11-01,4/27/2022 16:01,5/12/2022 16:05,4/27/2022 16:01,105715,,,84,,Applied Soft Computing,,,,,,,,en,,,,,ScienceDirect,,,,C:\Users\cfpgo\Zotero\storage\HFQIZZXI\Xia et al. - 2019 - Simplex quantum-behaved particle swarm optimizatio.pdf,,included; forward snowball,Quantum-behaved particle swarm optimization; Cascade hydropower reservoirs; Ecological operation requirement; Nelder–Mead simplex search method; Probabilistic mutation operator,,,YES,YES,YES,N/A,N/A,YES,YES,YES,NO,NO,YES,YES,YES,NO,YES,YES,YES,NO,YES,YES,YES,YES,YES,NO,N/A,YES,0.75,0.8,OK,OK,OK,OK,OK,OK,OK,,
EZS8SFEW,journalArticle,2020,"Xin-gang, Zhao; Ji, Liang; Jin, Meng; Ying, Zhou",An improved quantum particle swarm optimization algorithm for environmental economic dispatch,24201,,Expert Systems with Applications,,0957-4174,10.1016/j.eswa.2020.113370,https://www.sciencedirect.com/science/article/pii/S0957417420301950,Journal,D,35,351,3510,"Consumption of traditional fossil energy has promoted rapid economic development and caused effects such as climate warming and environmental degradation. In order to solve the problem of environmental economic dispatch (EED), this paper proposes a DE-CQPSO (Differential Evolution-Crossover Quantum Particle Swarm Optimization) algorithm based on the fast convergence of differential evolution algorithms and the particle diversity of crossover operators of genetic algorithms. In order to obtain better optimization results, a parameter adaptive control method is used to update the crossover probability. And the problem of multi-objective optimization is solved by introducing a penalty factor. The experimental results show that: the evaluation index and convergence speed of the DE-CQPSO algorithm are better than QPSO (Quantum Particle Swarm Optimization) and other algorithms, whether it is single-objective optimization of fuel cost and emissions or multi-objective optimization considering both optimization objectives. A good compromise value is verified, which verifies the effectiveness and robustness of the DE-CQPSO algorithm in solving environmental economic dispatch problems. The study provides a new research direction for solving environmental economic dispatch problems. At the same time, it provides a reference for the reasonable output of the unit to a certain extent.",2020-08-15,4/27/2022 16:02,5/12/2022 15:37,4/27/2022 16:02,113370,,,152,,Expert Systems with Applications,,,,,,,,en,,,,,ScienceDirect,,,,C:\Users\cfpgo\Zotero\storage\XVM6QIPE\Xin-gang et al. - 2020 - An improved quantum particle swarm optimization al.pdf,,included; forward snowball,Quantum particle swarm optimization; Crossover operator; Adaptive control; Carbon emission reduction; Differential evolution operator; Environmental economic dispatch,,,YES,YES,NO,YES,N/A,YES,YES,NO,NO,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,NO,YES,NO,N/A,NO,0.666666667,0.6,OK,OK,OK,OK,OK,OK,OK,,
VI6V2QT2,journalArticle,2018,"Yang, Kun; Feng, Weiming; Liu, Gang; Zhao, Junfeng; Su, Piaoyi",Quantum-behaved particle swarm optimization for far-distance rapid cooperative rendezvous between two spacecraft,12375,,Advances in Space Research,,0273-1177,10.1016/j.asr.2018.08.006,https://www.sciencedirect.com/science/article/pii/S027311771830615X,Journal,H,52,522,5229,"Focused on far-distance rapid cooperative rendezvous between two spacecraft under continuous large thrust, this paper presents a series of artificial intelligence algorithms for fuel and time optimization. The process of far-distance rapid cooperative rendezvous was optimized by a type of hybrid algorithm-integrated Quantum-behaved Particle Swarm Optimization (QPSO) and Sequential Quadratic Programming (SQP). The convergent co-state vectors were obtained by QPSO and subsequently set as the initial values of SQP to search for the exact solutions in a smaller area. Applications of non-coplanar cooperative rendezvous are provided to demonstrate that the QPSO-SQP algorithm has better performance than other popular algorithms in less time consumption, faster convergence rate and highly stable solutions.",2018-12-01,4/27/2022 16:02,5/12/2022 16:06,4/27/2022 16:02,2998-3011,,11,62,,Advances in Space Research,,,,,,,,en,,,,,ScienceDirect,,,,C:\Users\cfpgo\Zotero\storage\EVKNQ33I\Yang et al. - 2018 - Quantum-behaved particle swarm optimization for fa.pdf; C:\Users\cfpgo\Zotero\storage\3V7W5JDP\S027311771830615X.html,,included; forward snowball,Optimal control; Quantum-behaved Particle Swarm Optimization (QPSO); Particle Swarm Optimization (PSO); Cooperative rendezvous; Sequential Quadratic Programming (SQP),,,YES,YES,NO,YES,N/A,NO,YES,NO,NO,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,N/A,NO,0.444444444,0.733333333,OK,OK,OK,OK,OK,OK,OK,,
6GUUCY87,journalArticle,2018,"Mahdi, Fahad Parvez; Vasant, Pandian; Abdullah-Al-Wadud, Mohammad; Watada, Junzo; Kallimani, Vish",A quantum-inspired particle swarm optimization approach for environmental/economic power dispatch problem using cubic criterion function,21100241220,,International Transactions on Electrical Energy Systems,,2050-7038,10.1002/etep.2497,https://onlinelibrary.wiley.com/doi/abs/10.1002/etep.2497,Journal,D,35,351,3510,"In electrical power dispatch problem, economic dispatch (ED) and environmental dispatch problems play a crucial part. Economic dispatch problem refers to the minimization of generation cost, where environmental dispatch problem refers to the minimization of emission of pollutants like CO2, SO2, and NOx from the power generation system. A quantum-inspired particle swarm optimization (QPSO) technique is presented in this paper to solve many-objective environmental economic dispatch (EED) problems. Emissions of CO2, SO2, and NOx are considered 3 different objectives, thus making it a 4-objective problem considering ED. Many-objective EED problems are defined by using a cubic criterion function, and a max/max price penalty factor is considered to convert all the objectives into a single objective to compare the final results with other well-known methods found in the literature like Lagrangian relaxation, particle swarm optimization, simulated annealing, and quantum-behaved bat algorithm. Quantum-inspired particle swarm optimization is implemented on a 6-unit system to solve many-objective EED problems, and at the same time, to show the effectiveness of QPSO in large systems, it is also implemented in a 26-unit power generation system for ED problem. The obtained results demonstrate and verify the effectiveness and robustness of QPSO to solve many-objective EED problems. This also shows that QPSO can effectively be implemented in such power dispatch problems.",2018,4/27/2022 16:24,5/11/2022 15:55,4/27/2022 16:24,e2497,,3,28,,,,,,,,,,en,,,,,Wiley Online Library,,_eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1002/etep.2497,,C:\Users\cfpgo\Zotero\storage\RKHCJZ95\Mahdi et al. - 2018 - A quantum-inspired particle swarm optimization app.pdf,,included; forward snowball,quantum particle swarm optimization; economic load dispatch; cubic criterion function; emission reduction; environmental economic dispatch; many-objective optimization; max/max penalty factor,,,YES,YES,NO,YES,N/A,YES,YES,NO,NO,YES,YES,YES,YES,NO,NO,YES,YES,NO,YES,YES,YES,YES,YES,NO,N/A,NO,0.666666667,0.666666667,OK,OK,OK,OK,OK,OK,OK,,
